"Bognor Regis juniors","Arena Sports Centre",-0.693819,50.792765
"Bognor Regis","Hotham Park",-0.668305,50.786913
"Bold Forest juniors","Colliers Moss North",-2.68652,53.441061
"Bolton","Leverhulme Park, Bolton",-2.395615,53.574715
"Boston Road Rec juniors","Boston Road Recreation Ground",-0.40055,52.997065
"Boston","Witham Way Country Park",-0.038556,52.990156
"Bournemouth","Kings Park Athletic Stadium",-1.832732,50.73362
"Bracknell juniors","Great Hollands Recreation Ground",-0.778067,51.389493
"Bracknell","Great Hollands Recreation Ground",-0.776844,51.390248
"Bradford","Lister Park, Bradford",-1.775102,53.814575
"Bramhall Park","Bramhall Park, near Stockport",-2.160702,53.374268
"Bramley juniors","Bramley Park",-1.634046,53.81364
"Bramley","Bramley Park",-1.633461,53.813432
"Brandon Country Park","Brandon Country Park",0.625877,52.436339
"Braunstone","Braunstone, Leicester",-1.178681,52.626129
"Breckland Leisure Centre juniors","Breckland Leisure Centre Leisure",0.747829,52.421826
"Brentwood juniors","Weald Country Park",0.265978,51.623854
"Brentwood","Weald Country Park",0.266879,51.622582
"Bressay","Bressay",-1.119683,60.158081
"Bridgend juniors","Newbridge Fields",-3.583298,51.502993
"Brierley Forest","Mineralwell Park",-1.295214,53.131155
"Brighouse juniors","Wellholme Park",-1.776459,53.70627
"Brighouse","Wellholme Park",-1.778156,53.706086
"Brighton & Hove","Hove Park, Brighton",-0.172498,50.84214
"Brixworth Country","Brixworth Country Park",-0.895675,52.318576
"Broadmeadow juniors","Lakeland Forum",-7.643103,54.344072
"Brockenhurst","Brockenhurst College",-1.568052,50.821804
"Brockwell juniors","Brockwell Park",-0.106505,51.452603
"Brockwell","Brockwell Park, Herne Hill",-0.105464,51.452538
"Bromley juniors","Norman Park",0.026049,51.389329
"Bromley","Norman Park, Bromley",0.022874,51.386539
"Bromsgrove juniors","Sanders Park",-2.072308,52.334159
"Brooklands","Brooklands Community Park",-0.471408,51.346969
"Brueton","Brueton Park, Solihull",-1.764593,52.406754
"Brumby Wood Rec Ground juniors","Brumby Wood Rec Ground",-0.664778,53.581186
"Brundall","Countryside Park",1.417369,52.624133
"Bryn Bach juniors","Bryn Bach country park",-3.267184,51.783571
"Bryn Bach","Parc Bryn Bach, Tredegar",-3.269548,51.781621
"Brynaman","Brynamman Rugby Club",-3.871498,51.806882
"Buckingham juniors","Bourton Park",-0.975386,51.997232
"Buckingham","Bridge Street Skate Park",-0.984462,51.998987
"Burgess juniors","Burgess Park",-0.082664,51.483207
"Burgess","Burgess Park",-0.081024,51.484536
"Burnage","Varley Park, Stockport SK4 3EA",-2.209185,53.407152
"Burnham and Highbridge","Apex Park",-2.990243,51.226679
"Burnham-on-Crouch","Riverside Country Park",0.810923,51.627409
"Burnley juniors","Towneley Park",-2.219036,53.777385
"Burnley","Towneley Park, Burnley",-2.221555,53.77834
"Burslem Park juniors","Burslem Park",-2.189272,53.048527
"Bury St Edmunds juniors","Bury St Edmunds",0.734698,52.244457
"Bury St Edmunds","Nowton Park",0.730183,52.224887
"Bushy Park","Bushy Park, Teddington",-0.335791,51.410992
"Bushy juniors","Bushy Park, Teddington",-0.332639,51.420504
"California Country","California Country Park",-0.867647,51.379583
"Cambridge juniors","Milton Country Park",0.163389,52.236606
"Cambridge","Milton Country Park, Cambridge",0.161906,52.236675
"Camperdown","Camperdown Country Park",-3.030896,56.483681
"Cannock Chase","Cannock Chase",-1.99542,52.73744
"Cannon Hill juniors","Cannon Hill Park",-1.904225,52.449976
"Cannon Hill","Cannon Hill, Birmingham",-1.89997,52.452637
"Canons Park","Canons Park",-0.296184,51.612291
"Canterbury","The Pavillion",1.057002,51.299468
"Cape Pembroke Lighthouse","Cape Pembroke Lighthouse",-57.757716,-51.683211
"Cardiff juniors","Llandaff Fields",-3.204035,51.489617
"Cardiff","Cardiff Blackweir",-3.207107,51.49736
"Carlisle juniors","Bitts Park",-2.936575,54.899555
"Carlisle","Chances Park",-2.963455,54.886025
"Carmarthen juniors","Carmarthen Park",-4.315982,51.854169
"Carrickfergus","Amphitheatre Wellness Centre",-5.805285,54.719992
"Cassiobury","Cassiobury Park",-0.406335,51.657677
"Castle Howard","Castle Howard",-0.910925,54.120303
"Castle Park","Castle Park",0.164165,51.87167
"Castlewellan","Castlewellan Forest Park",-5.95386,54.262147
"Catford","Mountsfield Park",-0.00863,51.44824
"Catterick","Catterick Racecourse",-1.646503,54.385534
"Catton","Catton Park",1.295507,52.656696
"Central Park juniors","Central Park",-0.235072,52.584576
"Centre Vale","Centre Vale Park",-2.102438,53.718272
"Chadderton Hall","Chadderton Hall Park",-2.158552,53.554066
"Chasewater","Chasewater Country Park",-1.944407,52.661987
"Cheadle Hulme","Grove Park Sports Club",-2.210652,53.379026
"Cheddar juniors","Kings Fitness and Leisure",-2.77921,51.273808
"Chelmsford Central","Chelmsford Central",0.464945,51.732577
"Chelmsford juniors","Central Park",0.466286,51.733083
"Cheltenham juniors","The Park",-2.088862,51.886492
"Cheltenham","Pittville Park",-2.07824,51.911754
"Cheshunt juniors","Cheshunt Park",-0.04912,51.715497
"Chester","Countess of Chester Country Park",-2.902368,53.207796
"Chichester juniors","Priory Park",-0.776619,50.839693
"Chichester","Oaklands Park",-0.777535,50.846182
"Chippenham juniors","Monkton Park",-2.111954,51.460235
"Chippenham","Monkton Park",-2.113119,51.460469
"Chipping Norton School","Chipping Norton School",-1.54029,51.93812
"Chipping Sodbury","The Ridings",-2.397165,51.544366
"Churchfields Farm","Churchfields Farm",-2.183958,52.252055
"Churchill Gardens juniors","Churchill Gardens Leisure Centre",-1.790559,51.062559
"Cirencester","Royal Agricultural University",-1.99109,51.711207
"Citypark","Citypark Park, Craigavon",-6.386002,54.451093
"Clacton Seafront","Clacton Seafront",1.142974,51.781574
"Clacton juniors","Clacton Seafront",1.142953,51.781588
"Clair","Clair Park",-0.100143,51.004322
"Clapham Common","Clapham Common",-0.151331,51.455873
"Clare Castle","Clare Castle Country Park",0.581882,52.076428
"Cleethorpes","Cleethorpes Country Park",-0.025384,53.541552
"Clevedon Salthouse Fields","Clevedon Salthouse Park",-2.866505,51.434573
"Cliff Park juniors","Cliff Park,",1.28484,51.937792
"Cliffe Castle","Cliffe Castle Park",-1.913364,53.874658
"Clifton","Clifton Playing Fields",-1.163033,52.907144
"Clitheroe Castle juniors","Clitheroe Castle Gardens",-2.394122,53.870606
"Clitheroe Castle","Clitheroe Castle Gardens",-2.39478,53.870346
"Clough Hall juniors","Clough Hall Park",-2.249699,53.083194
"Clumber Park","Clumber Park",-1.065717,53.268022
"Colby","Colby Woodland Garden",-4.669924,51.74064
"Colchester Castle","Castle Park",0.902724,51.89167
"Colchester juniors","Old Heath Recreation Ground",0.919969,51.87996
"Coldham’s Common juniors","Coldham’s Common",0.15458,52.208437
"Coldham’s Common","Coldham’s Common",0.158881,52.206705
"Colin Glen","Colin Glen Forest Park",-6.020504,54.570723
"Collett Park juniors","Collett Park",-2.542572,51.187461
"Colney Lane","UEA Colney Lane Playing Fields",1.22519,52.621317
"Colwick","Colwick Country Park, Nottingham",-1.09786,52.945171
"Comber juniors","Parkway",-5.739909,54.549098
"Comber","Parkway",-5.740415,54.549593
"Concord","Concord Park, Sheffield",-1.441612,53.424007
"Congleton","Astbury Mere",-2.229795,53.160781
"Conkers","Conkers Park",-1.543021,52.739475
"Conwy Nature Reserve juniors","Conwy Nature Reserve",-3.809626,53.279512
"Conwy","RSPB Nature Reserve, Conwy",-3.808966,53.279388
"Conyngham Hall","Conyngham Hall",-1.479507,54.011758
"Corby","West Glebe Recreation Ground",-0.691774,52.493879
"Cosmeston Lakes","Cosmeston Lakes Country Park",-3.185615,51.418047
"Cotsford Fields","Cotsford Fields",-1.30077,54.759499
"Coventry","War Memorial Park, Coventry",-1.524026,52.39172
"Craigswood juniors","Xcite Craigswood",-3.504524,55.902126
"Cranbrook Country Park juniors","Cranbrook Country Park",-3.408137,50.751359
"Crane Park","Crane Park, Twickenham",-0.372075,51.441168
